EN	HFO	DO	LO	R	D
1796.79	108694.70	6373.10	310.62	16.49	91.82
1785.71	108973.30	6053.00	476.90	16.40	89.10
1776.44	106798.80	6965.80	397.50	16.50	88.41
1789.04	108966.50	6096.60	0.00	16.43	89.44
1775.91	109025.60	4584.20	0.00	16.51	88.02
1778.97	109459.90	4687.00	0.00	16.46	87.85
1653.18	85623.20	21834.00	81.55	16.25	89.61
339.04	11998.80	11605.90	3234.09	15.27	89.01
842.28	44152.00	11103.20	352.81	16.16	87.81
864.16	43995.20	13450.10	77.20	15.93	87.30
831.06	35625.40	19890.30	340.94	15.87	86.25
828.36	32931.30	20823.20	0.00	16.34	84.42
866.36	43377.60	13233.00	102.86	16.19	84.86
329.85	12101.70	10214.30	0.00	15.76	85.51
0.00	0.00	0.00	565.00	0.00	86.67
877.88	44929.80	13211.20	1997.55	15.99	84.60
808.03	40128.20	13387.10	307.14	16.00	87.72
938.65	37668.10	23802.80	236.81	16.19	89.97
1069.27	49070.20	20815.70	110.43	16.20	90.33
1520.61	77539.60	21236.80	158.74	16.29	91.17
1827.23	92879.30	26251.20	136.28	16.21	92.83
1788.44	100164.20	14791.70	443.93	16.42	89.59
1734.08	104465.90	7278.90	75.40	16.38	83.77
1829.51	102896.30	16050.20	574.56	16.24	91.50
1824.23	107847.90	8274.00	732.08	16.59	89.60
1829.76	114560.70	4395.10	783.44	16.25	91.15
1810.08	107625.50	7181.40	301.85	16.65	91.39
1820.78	110872.80	4706.10	0.00	16.64	91.66
1817.29	111080.80	4739.60	51.25	16.57	90.81
1803.86	109671.50	4952.70	1484.16	16.62	90.51
1814.27	108837.80	6708.10	287.02	16.59	91.68
1812.43	107104.30	7112.40	207.52	16.76	91.73
1783.89	104941.90	6659.70	799.28	16.88	89.38
1789.78	110030.80	3045.70	271.51	16.72	89.75
1808.33	111142.30	4165.80	602.26	16.57	90.96
1781.81	109235.40	3062.70	571.78	16.77	90.02
1806.30	110890.80	3338.80	806.88	16.70	89.91
1797.69	100283.88	14267.20	967.74	16.57	89.32
1806.33	112705.42	1997.40	461.99	16.63	89.49
1818.43	110978.20	3978.40	76.87	16.71	91.04
1823.33	108277.80	7687.80	41.93	16.59	90.25
1777.72	108255.20	5255.00	1151.38	16.55	89.85
1784.01	105540.10	7560.50	65.89	16.66	88.88
1789.35	106067.10	8212.80	688.19	16.54	89.77
1787.37	107775.20	6394.60	671.76	16.54	89.16
1789.65	110680.80	4359.50	0.00	16.43	89.01
1790.72	114857.00	4301.00	0.00	15.88	89.27
1806.49	100735.70	7058.10	305.87	17.70	89.55
1805.47	107105.20	8143.50	1733.15	16.54	87.39
1802.37	108407.30	7000.80	326.26	16.50	90.30
1772.17	106311.40	7274.30	93.50	16.47	87.58
1767.51	109918.60	3809.50	1002.41	16.42	87.04
1807.60	108129.00	5604.70	695.08	16.78	88.74
1807.12	105006.30	10653.10	171.33	16.50	89.86
1806.83	97151.70	18241.00	337.83	16.55	91.09
1826.86	104700.00	13338.50	727.45	16.36	94.35
